Economy,Respondent is female,Respondent age,Respondent education level,Within-economy household income quintile,Bought something online using the Internet
Singapore,Male,35,completed tertiary or more,Richest 20%,yes
Singapore,Male,55,completed primary or less,Richest 20%,no
Singapore,Female,29,completed tertiary or more,Richest 20%,yes
Singapore,Male,20,secondary,Middle 20%,yes
Singapore,Male,46,secondary,Richest 20%,yes
Singapore,Male,39,secondary,Poorest 20%,no
Singapore,Female,33,secondary,Richest 20%,no
Singapore,Male,48,secondary,Middle 20%,yes
Singapore,Female,42,completed tertiary or more,Second 20%,no
Singapore,Male,40,secondary,Second 20%,no
Singapore,Female,39,completed tertiary or more,Middle 20%,yes
Singapore,Female,45,secondary,Fourth 20%,yes
Singapore,Male,63,secondary,Middle 20%,yes
Singapore,Female,66,secondary,Poorest 20%,no
Singapore,Male,52,secondary,Second 20%,no
Singapore,Male,22,secondary,Fourth 20%,no
Singapore,Female,56,secondary,Second 20%,no
Singapore,Female,38,secondary,Fourth 20%,yes
Singapore,Female,67,completed primary or less,Poorest 20%,no
Singapore,Female,56,secondary,Richest 20%,yes
Singapore,Female,58,secondary,Middle 20%,no
Singapore,Female,39,secondary,Second 20%,yes
Singapore,Female,86,completed primary or less,Poorest 20%,no
Singapore,Male,53,secondary,Second 20%,no
Singapore,Female,68,secondary,Poorest 20%,no
Singapore,Female,60,secondary,Second 20%,yes
Singapore,Female,16,completed primary or less,Middle 20%,no
Singapore,Female,15,completed primary or less,Richest 20%,no
Singapore,Male,39,secondary,Fourth 20%,yes
Singapore,Male,52,secondary,Poorest 20%,no
Singapore,Female,46,completed tertiary or more,Middle 20%,yes
Singapore,Female,37,secondary,Second 20%,yes
Singapore,Male,45,completed tertiary or more,Richest 20%,yes
Singapore,Female,45,secondary,Middle 20%,yes
Singapore,Female,49,secondary,Second 20%,no
Singapore,Male,28,completed tertiary or more,Richest 20%,no
Singapore,Female,41,secondary,Second 20%,no
Singapore,Male,51,completed primary or less,Second 20%,no
Singapore,Male,18,secondary,Fourth 20%,no
Singapore,Female,75,completed primary or less,Poorest 20%,no
Singapore,Female,48,secondary,Fourth 20%,no
Singapore,Female,32,secondary,Fourth 20%,yes
Singapore,Male,58,secondary,Richest 20%,no
Singapore,Female,46,completed tertiary or more,Richest 20%,yes
Singapore,Male,35,completed tertiary or more,Richest 20%,yes
Singapore,Male,55,secondary,Second 20%,yes
Singapore,Male,66,secondary,Middle 20%,no
Singapore,Female,21,secondary,Fourth 20%,yes
Singapore,Male,63,completed primary or less,Second 20%,no
Singapore,Male,60,secondary,Second 20%,no
Singapore,Male,32,secondary,Fourth 20%,yes
Singapore,Male,56,secondary,Fourth 20%,yes
Singapore,Female,47,secondary,Richest 20%,yes
Singapore,Male,48,secondary,Fourth 20%,yes
Singapore,Male,18,secondary,Middle 20%,yes
Singapore,Female,40,secondary,Second 20%,yes
Singapore,Male,17,secondary,Second 20%,no
Singapore,Female,35,completed tertiary or more,Second 20%,no
Singapore,Male,42,completed tertiary or more,Fourth 20%,yes
Singapore,Female,55,completed primary or less,Fourth 20%,no
Singapore,Female,70,completed primary or less,Middle 20%,no
Singapore,Male,25,completed tertiary or more,Fourth 20%,yes
Singapore,Female,55,secondary,Fourth 20%,no
Singapore,Female,26,completed tertiary or more,Poorest 20%,yes
Singapore,Female,29,completed tertiary or more,Middle 20%,yes
Singapore,Male,62,completed primary or less,Poorest 20%,no
Singapore,Female,32,completed primary or less,Middle 20%,no
Singapore,Male,82,secondary,Second 20%,yes
Singapore,Female,45,secondary,Second 20%,yes
Singapore,Female,22,secondary,Poorest 20%,yes
Singapore,Male,19,secondary,Middle 20%,yes
Singapore,Female,52,completed primary or less,Second 20%,no
Singapore,Male,50,secondary,Middle 20%,yes
Singapore,Male,49,secondary,Middle 20%,yes
Singapore,Male,33,secondary,Fourth 20%,yes
Singapore,Female,55,secondary,Poorest 20%,yes
Singapore,Female,60,secondary,Fourth 20%,no
Singapore,Male,47,secondary,Second 20%,no
Singapore,Male,40,completed tertiary or more,Middle 20%,yes
Singapore,Male,59,secondary,Richest 20%,yes
Singapore,Male,43,secondary,Fourth 20%,yes
Singapore,Female,30,completed tertiary or more,Richest 20%,yes
Singapore,Female,46,secondary,Second 20%,no
Singapore,Female,75,completed primary or less,Poorest 20%,no
Singapore,Female,35,completed tertiary or more,Richest 20%,yes
Singapore,Male,37,secondary,Poorest 20%,yes
Singapore,Female,41,secondary,Middle 20%,no
Singapore,Female,39,completed tertiary or more,Richest 20%,yes
Singapore,Female,60,secondary,Poorest 20%,no
Singapore,Female,52,completed primary or less,Second 20%,yes
Singapore,Female,33,secondary,Fourth 20%,no
Singapore,Female,61,completed primary or less,Poorest 20%,no
Singapore,Female,66,secondary,Richest 20%,no
Singapore,Male,43,completed tertiary or more,Fourth 20%,yes
Singapore,Male,82,completed primary or less,Poorest 20%,no
Singapore,Female,46,secondary,Richest 20%,yes
Singapore,Female,28,secondary,Fourth 20%,yes
Singapore,Male,29,secondary,Richest 20%,yes
Singapore,Female,41,secondary,Middle 20%,yes
Singapore,Female,52,secondary,Fourth 20%,yes
Singapore,Female,50,completed tertiary or more,Middle 20%,no
Singapore,Male,27,secondary,Poorest 20%,yes
Singapore,Female,53,secondary,Second 20%,yes
Singapore,Female,21,secondary,Richest 20%,no
Singapore,Female,45,secondary,Middle 20%,yes
Singapore,Male,28,secondary,Richest 20%,yes
Singapore,Male,57,secondary,Middle 20%,yes
Singapore,Female,54,secondary,Fourth 20%,no
Singapore,Male,49,completed primary or less,Poorest 20%,no
Singapore,Female,38,secondary,Second 20%,yes
Singapore,Female,41,completed tertiary or more,Richest 20%,yes
Singapore,Female,25,completed tertiary or more,Richest 20%,yes
Singapore,Male,35,secondary,Fourth 20%,yes
Singapore,Female,35,secondary,Second 20%,yes
Singapore,Male,22,secondary,Richest 20%,no
Singapore,Male,18,secondary,Richest 20%,yes
Singapore,Female,20,secondary,Fourth 20%,no
Singapore,Male,65,secondary,Second 20%,no
Singapore,Female,77,completed primary or less,Poorest 20%,no
Singapore,Female,35,secondary,Fourth 20%,yes
Singapore,Male,60,secondary,Poorest 20%,no
Singapore,Female,20,secondary,Richest 20%,yes
Singapore,Female,43,completed tertiary or more,Middle 20%,yes
Singapore,Male,66,completed primary or less,Second 20%,no
Singapore,Male,39,secondary,Second 20%,no
Singapore,Female,55,secondary,Fourth 20%,yes
Singapore,Female,73,secondary,Poorest 20%,no
Singapore,Female,54,secondary,Second 20%,no
Singapore,Male,18,secondary,Poorest 20%,yes
Singapore,Male,35,completed tertiary or more,Fourth 20%,yes
Singapore,Male,43,completed tertiary or more,Second 20%,yes
Singapore,Female,66,completed primary or less,Poorest 20%,no
Singapore,Female,35,completed tertiary or more,Fourth 20%,yes
Singapore,Male,56,completed tertiary or more,Richest 20%,yes
Singapore,Male,55,secondary,Middle 20%,yes
Singapore,Male,39,completed tertiary or more,Richest 20%,yes
Singapore,Female,66,secondary,Middle 20%,no
Singapore,Female,17,secondary,Richest 20%,no
Singapore,Male,30,completed tertiary or more,Second 20%,yes
Singapore,Female,47,secondary,Fourth 20%,no
Singapore,Female,36,completed primary or less,Poorest 20%,no
Singapore,Male,59,secondary,Second 20%,yes
Singapore,Female,50,secondary,Richest 20%,yes
Singapore,Male,30,secondary,Second 20%,no
Singapore,Female,28,completed tertiary or more,Fourth 20%,yes
Singapore,Female,68,secondary,Richest 20%,yes
Singapore,Female,53,completed primary or less,Fourth 20%,no
Singapore,Female,30,completed tertiary or more,Fourth 20%,yes
Singapore,Female,39,completed tertiary or more,Poorest 20%,no
Singapore,Female,53,completed tertiary or more,Middle 20%,yes
Singapore,Male,42,completed tertiary or more,Fourth 20%,no
Singapore,Female,33,completed tertiary or more,Fourth 20%,yes
Singapore,Female,74,completed primary or less,Poorest 20%,no
Singapore,Male,37,completed tertiary or more,Fourth 20%,yes
Singapore,Male,47,completed tertiary or more,Second 20%,yes
Singapore,Female,52,secondary,Richest 20%,no
Singapore,Female,43,secondary,Middle 20%,yes
Singapore,Male,16,secondary,Middle 20%,no
Singapore,Male,33,secondary,Second 20%,no
Singapore,Female,54,secondary,Fourth 20%,yes
Singapore,Male,27,secondary,Richest 20%,no
Singapore,Female,38,completed tertiary or more,Richest 20%,yes
Singapore,Male,68,completed primary or less,Second 20%,no
Singapore,Female,45,completed tertiary or more,Richest 20%,yes
Singapore,Male,40,secondary,Middle 20%,yes
Singapore,Male,50,secondary,Second 20%,yes
Singapore,Female,60,secondary,Poorest 20%,yes
Singapore,Male,33,secondary,Second 20%,no
Singapore,Female,46,secondary,Fourth 20%,yes
Singapore,Male,54,completed tertiary or more,Poorest 20%,yes
Singapore,Female,22,secondary,Fourth 20%,no
Singapore,Male,82,secondary,Fourth 20%,no
Singapore,Female,83,completed primary or less,Poorest 20%,no
Singapore,Male,22,secondary,Middle 20%,yes
Singapore,Female,82,completed primary or less,Second 20%,no
Singapore,Male,49,completed tertiary or more,Fourth 20%,yes
Singapore,Male,28,completed tertiary or more,Middle 20%,no
Singapore,Female,47,completed tertiary or more,Richest 20%,yes
Singapore,Female,36,secondary,Middle 20%,yes
Singapore,Male,26,completed tertiary or more,Fourth 20%,yes
Singapore,Female,43,secondary,Poorest 20%,yes
Singapore,Female,62,secondary,Second 20%,no
Singapore,Female,55,secondary,Second 20%,no
Singapore,Female,50,completed primary or less,Second 20%,yes
Singapore,Female,70,secondary,Fourth 20%,no
Singapore,Female,69,secondary,Richest 20%,no
Singapore,Female,62,completed primary or less,Middle 20%,yes
Singapore,Male,50,secondary,Middle 20%,yes
Singapore,Male,65,completed primary or less,Second 20%,no
Singapore,Male,61,secondary,Richest 20%,yes
Singapore,Male,70,completed primary or less,Poorest 20%,no
Singapore,Female,62,completed tertiary or more,Second 20%,no
Singapore,Male,63,secondary,Middle 20%,no
Singapore,Male,32,completed tertiary or more,Richest 20%,yes
Singapore,Female,42,secondary,Richest 20%,yes
Singapore,Male,49,completed tertiary or more,Poorest 20%,yes
Singapore,Female,42,secondary,Second 20%,yes
Singapore,Female,50,secondary,Fourth 20%,yes
Singapore,Female,46,completed tertiary or more,Richest 20%,yes
Singapore,Male,35,secondary,Fourth 20%,yes
Singapore,Male,63,secondary,Middle 20%,yes
Singapore,Female,55,secondary,Richest 20%,yes
Singapore,Female,78,completed primary or less,Fourth 20%,no
Singapore,Male,88,completed primary or less,Poorest 20%,no
Singapore,Female,57,secondary,Middle 20%,no
Singapore,Female,65,secondary,Second 20%,no
Singapore,Female,58,secondary,Richest 20%,no
Singapore,Female,40,secondary,Second 20%,yes
Singapore,Male,60,secondary,Fourth 20%,no
Singapore,Male,43,secondary,Poorest 20%,yes
Singapore,Male,44,completed tertiary or more,Richest 20%,yes
Singapore,Female,54,completed primary or less,Poorest 20%,no
Singapore,Female,39,secondary,Richest 20%,no
Singapore,Male,86,secondary,Second 20%,no
Singapore,Female,45,secondary,Richest 20%,yes
Singapore,Female,61,completed primary or less,Second 20%,no
Singapore,Female,63,secondary,Poorest 20%,no
Singapore,Male,20,secondary,Richest 20%,no
Singapore,Female,41,secondary,Middle 20%,yes
Singapore,Female,46,secondary,Poorest 20%,no
Singapore,Female,30,completed tertiary or more,Fourth 20%,yes
Singapore,Female,75,completed primary or less,Second 20%,no
Singapore,Female,46,secondary,Fourth 20%,yes
Singapore,Male,18,secondary,Middle 20%,no
Singapore,Male,35,completed tertiary or more,Richest 20%,yes
Singapore,Male,55,completed tertiary or more,Richest 20%,yes
Singapore,Male,16,secondary,Poorest 20%,no
Singapore,Male,16,secondary,Second 20%,yes
Singapore,Female,40,secondary,Richest 20%,yes
Singapore,Female,70,secondary,Fourth 20%,yes
Singapore,Female,42,completed primary or less,Middle 20%,no
Singapore,Female,35,completed primary or less,Poorest 20%,no
Singapore,Female,57,secondary,Poorest 20%,no
Singapore,Male,77,secondary,Poorest 20%,no
Singapore,Female,26,secondary,Second 20%,yes
Singapore,Male,45,secondary,Fourth 20%,yes
Singapore,Female,20,secondary,Second 20%,no
Singapore,Female,27,secondary,Second 20%,no
Singapore,Male,28,secondary,Richest 20%,yes
Singapore,Female,60,secondary,Second 20%,yes
Singapore,Male,60,secondary,Fourth 20%,no
Singapore,Female,80,secondary,Middle 20%,no
Singapore,Female,72,completed primary or less,Poorest 20%,no
Singapore,Female,64,completed primary or less,Poorest 20%,no
Singapore,Male,16,completed primary or less,Second 20%,no
Singapore,Female,44,secondary,Middle 20%,no
Singapore,Male,29,secondary,Fourth 20%,yes
Singapore,Male,41,completed tertiary or more,Poorest 20%,no
Singapore,Male,59,secondary,Fourth 20%,no
Singapore,Male,59,completed tertiary or more,Middle 20%,yes
Singapore,Female,39,secondary,Fourth 20%,yes
Singapore,Female,35,completed tertiary or more,Fourth 20%,yes
Singapore,Female,38,secondary,Second 20%,yes
Singapore,Female,60,completed primary or less,Poorest 20%,no
Singapore,Female,53,completed primary or less,Poorest 20%,no
Singapore,Male,71,completed tertiary or more,Poorest 20%,no
Singapore,Female,60,completed primary or less,Second 20%,no
Singapore,Male,38,completed tertiary or more,Richest 20%,yes
Singapore,Female,44,completed tertiary or more,Middle 20%,yes
Singapore,Male,42,secondary,Poorest 20%,no
Singapore,Male,48,completed tertiary or more,Richest 20%,no
Singapore,Female,40,secondary,Fourth 20%,yes
Singapore,Male,56,secondary,Middle 20%,yes
Singapore,Female,56,secondary,Second 20%,no
Singapore,Female,54,secondary,Poorest 20%,yes
Singapore,Male,25,secondary,Middle 20%,yes
Singapore,Female,40,completed tertiary or more,Fourth 20%,yes
Singapore,Female,24,secondary,Middle 20%,yes
Singapore,Female,21,secondary,Second 20%,yes
Singapore,Female,53,secondary,Poorest 20%,no
Singapore,Female,28,completed tertiary or more,Richest 20%,yes
Singapore,Female,30,secondary,Richest 20%,no
Singapore,Female,25,secondary,Second 20%,no
Singapore,Female,73,completed primary or less,Poorest 20%,no
Singapore,Male,36,completed tertiary or more,Richest 20%,yes
Singapore,Male,64,secondary,Fourth 20%,no
Singapore,Female,28,completed tertiary or more,Fourth 20%,no
Singapore,Female,50,secondary,Middle 20%,no
Singapore,Female,45,completed tertiary or more,Middle 20%,no
Singapore,Female,60,secondary,Richest 20%,no
Singapore,Female,37,secondary,Middle 20%,yes
Singapore,Female,22,secondary,Second 20%,yes
Singapore,Male,20,secondary,Poorest 20%,no
Singapore,Male,70,completed primary or less,Poorest 20%,no
Singapore,Female,72,secondary,Fourth 20%,no
Singapore,Female,46,secondary,Poorest 20%,no
Singapore,Female,55,completed tertiary or more,Middle 20%,no
Singapore,Female,65,secondary,Poorest 20%,no
Singapore,Female,38,completed tertiary or more,Fourth 20%,yes
Singapore,Female,16,secondary,Fourth 20%,no
Singapore,Male,31,completed tertiary or more,Richest 20%,yes
Singapore,Female,59,secondary,Second 20%,no
Singapore,Female,60,completed tertiary or more,Richest 20%,no
Singapore,Male,60,completed primary or less,Fourth 20%,no
Singapore,Female,65,secondary,Poorest 20%,no
Singapore,Male,59,secondary,Richest 20%,yes
Singapore,Female,55,secondary,Fourth 20%,yes
Singapore,Female,65,secondary,Fourth 20%,yes
Singapore,Male,23,secondary,Middle 20%,yes
Singapore,Male,52,secondary,Fourth 20%,yes
Singapore,Female,46,secondary,Second 20%,no
Singapore,Male,18,secondary,Second 20%,yes
Singapore,Female,58,secondary,Middle 20%,no
Singapore,Male,28,completed tertiary or more,Middle 20%,yes
Singapore,Female,18,secondary,Middle 20%,no
Singapore,Female,22,secondary,Middle 20%,yes
Singapore,Female,50,completed tertiary or more,Richest 20%,yes
Singapore,Male,59,completed tertiary or more,Fourth 20%,no
Singapore,Male,50,completed tertiary or more,Richest 20%,yes
Singapore,Female,39,secondary,Fourth 20%,yes
Singapore,Male,55,secondary,Middle 20%,no
Singapore,Male,48,completed tertiary or more,Richest 20%,yes
Singapore,Female,66,completed primary or less,Poorest 20%,no
Singapore,Male,36,secondary,Middle 20%,no
Singapore,Female,84,completed primary or less,Middle 20%,no
Singapore,Female,35,completed tertiary or more,Fourth 20%,yes
Singapore,Female,19,secondary,Second 20%,no
Singapore,Female,45,secondary,Fourth 20%,no
Singapore,Female,68,completed primary or less,Poorest 20%,no
Singapore,Male,45,secondary,Middle 20%,yes
Singapore,Female,58,secondary,Fourth 20%,yes
Singapore,Male,62,secondary,Second 20%,no
Singapore,Male,17,secondary,Middle 20%,no
Singapore,Male,34,completed tertiary or more,Fourth 20%,yes
Singapore,Male,75,secondary,Poorest 20%,no
Singapore,Female,28,completed tertiary or more,Fourth 20%,no
Singapore,Male,35,completed tertiary or more,Richest 20%,yes
Singapore,Female,61,secondary,Richest 20%,no
Singapore,Male,58,secondary,Middle 20%,no
Singapore,Male,68,secondary,Poorest 20%,no
Singapore,Male,70,completed primary or less,Fourth 20%,no
Singapore,Female,49,secondary,Second 20%,yes
Singapore,Female,28,completed tertiary or more,Fourth 20%,yes
Singapore,Male,24,secondary,Middle 20%,yes
Singapore,Female,49,completed primary or less,Poorest 20%,no
Singapore,Male,55,completed primary or less,Fourth 20%,no
Singapore,Female,40,secondary,Second 20%,yes
Singapore,Female,26,completed primary or less,Poorest 20%,yes
Singapore,Female,45,secondary,Fourth 20%,yes
Singapore,Male,44,completed tertiary or more,Second 20%,yes
Singapore,Female,58,secondary,Poorest 20%,no
Singapore,Female,42,secondary,Poorest 20%,yes
Singapore,Female,36,completed tertiary or more,Richest 20%,yes
Singapore,Male,80,completed primary or less,Poorest 20%,no
Singapore,Female,60,completed primary or less,Second 20%,no
Singapore,Male,60,secondary,Poorest 20%,no
Singapore,Male,77,secondary,Richest 20%,no
Singapore,Female,60,secondary,Middle 20%,yes
Singapore,Female,46,secondary,Fourth 20%,yes
Singapore,Female,65,completed primary or less,Second 20%,no
Singapore,Female,60,secondary,Middle 20%,yes
Singapore,Male,62,completed primary or less,Second 20%,no
Singapore,Male,41,completed tertiary or more,Richest 20%,yes
Singapore,Female,38,completed tertiary or more,Richest 20%,yes
Singapore,Female,71,completed primary or less,Poorest 20%,no
Singapore,Female,18,secondary,Fourth 20%,yes
Singapore,Female,39,completed primary or less,Poorest 20%,no
Singapore,Female,70,completed primary or less,Fourth 20%,no
Singapore,Male,38,completed tertiary or more,Richest 20%,yes
Singapore,Female,47,secondary,Second 20%,yes
Singapore,Female,30,secondary,Second 20%,no
Singapore,Female,54,completed tertiary or more,Richest 20%,yes
Singapore,Female,70,completed primary or less,Poorest 20%,no
Singapore,Female,26,secondary,Fourth 20%,yes
Singapore,Female,52,completed primary or less,Poorest 20%,no
Singapore,Female,30,completed tertiary or more,Middle 20%,yes
Singapore,Male,72,secondary,Richest 20%,no
Singapore,Female,36,completed tertiary or more,Second 20%,no
Singapore,Female,69,completed tertiary or more,Richest 20%,no
Singapore,Male,80,secondary,Poorest 20%,no
Singapore,Male,55,completed tertiary or more,Richest 20%,yes
Singapore,Female,37,completed tertiary or more,Fourth 20%,yes
Singapore,Female,22,secondary,Second 20%,yes
Singapore,Female,46,secondary,Second 20%,no
Singapore,Male,49,completed tertiary or more,Fourth 20%,yes
Singapore,Female,37,secondary,Poorest 20%,no
Singapore,Male,56,secondary,Middle 20%,no
Singapore,Female,68,secondary,Poorest 20%,no
Singapore,Male,87,completed primary or less,Poorest 20%,no
Singapore,Female,32,secondary,Second 20%,yes
Singapore,Female,28,completed tertiary or more,Poorest 20%,yes
Singapore,Female,66,completed primary or less,Poorest 20%,no
Singapore,Female,68,completed primary or less,Second 20%,no
Singapore,Female,59,completed primary or less,Middle 20%,yes
Singapore,Male,35,completed tertiary or more,Richest 20%,yes
Singapore,Female,43,secondary,Middle 20%,no
Singapore,Female,35,completed tertiary or more,Richest 20%,yes
Singapore,Male,45,completed tertiary or more,Second 20%,yes
Singapore,Male,35,completed tertiary or more,Richest 20%,yes
Singapore,Female,58,secondary,Fourth 20%,no
Singapore,Male,46,completed tertiary or more,Fourth 20%,yes
Singapore,Female,28,secondary,Fourth 20%,yes
Singapore,Male,68,secondary,Second 20%,no
Singapore,Female,34,completed tertiary or more,Fourth 20%,no
Singapore,Female,54,secondary,Middle 20%,no
Singapore,Female,44,secondary,Middle 20%,no
Singapore,Male,53,secondary,Fourth 20%,yes
Singapore,Female,39,secondary,Second 20%,no
Singapore,Female,40,secondary,Fourth 20%,yes
Singapore,Male,50,secondary,Middle 20%,yes
Singapore,Female,64,secondary,Fourth 20%,no
Singapore,Male,28,secondary,Richest 20%,yes
Singapore,Female,21,secondary,Middle 20%,yes
Singapore,Female,55,secondary,Second 20%,yes
Singapore,Female,35,completed tertiary or more,Middle 20%,yes
Singapore,Female,76,completed primary or less,Poorest 20%,no
Singapore,Female,50,completed primary or less,Middle 20%,no
Singapore,Male,19,secondary,Middle 20%,no
Singapore,Female,55,secondary,Middle 20%,yes
Singapore,Male,70,secondary,Richest 20%,yes
Singapore,Female,52,secondary,Middle 20%,no
Singapore,Male,60,completed primary or less,Second 20%,yes
Singapore,Male,19,secondary,Second 20%,no
Singapore,Female,36,completed tertiary or more,Richest 20%,yes
Singapore,Female,35,secondary,Second 20%,yes
Singapore,Male,60,secondary,Richest 20%,no
Singapore,Male,46,secondary,Fourth 20%,yes
Singapore,Female,37,secondary,Fourth 20%,yes
Singapore,Female,35,completed tertiary or more,Richest 20%,yes
Singapore,Female,54,secondary,Second 20%,yes
Singapore,Female,48,completed tertiary or more,Middle 20%,yes
Singapore,Female,56,secondary,Fourth 20%,yes
Singapore,Male,19,secondary,Fourth 20%,yes
Singapore,Female,60,secondary,Fourth 20%,yes
Singapore,Female,59,secondary,Poorest 20%,no
Singapore,Male,74,secondary,Poorest 20%,no
Singapore,Male,85,completed primary or less,Poorest 20%,no
Singapore,Female,88,completed primary or less,Middle 20%,no
Singapore,Male,25,secondary,Middle 20%,yes
Singapore,Male,63,secondary,Middle 20%,no
Singapore,Male,50,secondary,Second 20%,no
Singapore,Male,20,secondary,Second 20%,yes
Singapore,Male,62,completed primary or less,Poorest 20%,no
Singapore,Female,53,secondary,Poorest 20%,no
Singapore,Male,80,secondary,Second 20%,no
Singapore,Female,28,completed tertiary or more,Richest 20%,yes
Singapore,Female,43,completed tertiary or more,Richest 20%,yes
Singapore,Female,70,completed primary or less,Poorest 20%,no
Singapore,Male,62,secondary,Richest 20%,yes
Singapore,Male,30,completed tertiary or more,Middle 20%,yes
Singapore,Female,48,secondary,Poorest 20%,no
Singapore,Female,40,secondary,Middle 20%,no
Singapore,Female,58,secondary,Richest 20%,yes
Singapore,Male,66,completed tertiary or more,Richest 20%,yes
Singapore,Female,52,secondary,Middle 20%,yes
Singapore,Female,70,secondary,Fourth 20%,no
Singapore,Female,89,completed primary or less,Fourth 20%,no
Singapore,Female,38,completed tertiary or more,Fourth 20%,yes
Singapore,Male,70,secondary,Middle 20%,no
Singapore,Male,56,secondary,Middle 20%,no
Singapore,Female,44,secondary,Fourth 20%,yes
Singapore,Female,51,secondary,Second 20%,no
Singapore,Female,25,secondary,Fourth 20%,no
Singapore,Female,49,completed primary or less,Poorest 20%,no
Singapore,Female,43,completed primary or less,Second 20%,no
Singapore,Male,47,secondary,Fourth 20%,yes
Singapore,Female,38,secondary,Fourth 20%,yes
Singapore,Female,45,completed tertiary or more,Richest 20%,yes
Singapore,Female,40,completed tertiary or more,Poorest 20%,no
Singapore,Female,47,secondary,Richest 20%,yes
Singapore,Female,64,completed primary or less,Poorest 20%,no
Singapore,Male,31,secondary,Second 20%,no
Singapore,Male,70,secondary,Second 20%,no
Singapore,Male,41,secondary,Poorest 20%,no
Singapore,Male,49,completed tertiary or more,Richest 20%,no
Singapore,Female,16,secondary,Second 20%,no
Singapore,Male,58,completed tertiary or more,Fourth 20%,no
Singapore,Male,16,completed primary or less,Fourth 20%,yes
Singapore,Male,62,completed primary or less,Second 20%,no
Singapore,Male,50,secondary,Fourth 20%,yes
Singapore,Female,52,secondary,Fourth 20%,yes
Singapore,Female,48,completed tertiary or more,Middle 20%,no
